序號,刊名,出 版 者,作者,期數,期刊分類,數量
【期刊-警學叢刊】,,,,,,
1,警學叢刊,中央警察大學警學叢刊雜誌,,272,學術團體,
2,警學叢刊,中央警察大學警學叢刊雜誌,,273,學術團體,
3,警學叢刊,中央警察大學警學叢刊雜誌,,273,學術團體,
4,警學叢刊,中央警察大學警學叢刊雜誌,,274,學術團體,
,,,,,,
【期刊-清流 】,,,,,,
序號,刊名,出 版 者,作者,期數,期刊分類,數量
1,清流雙月刊 [第53期]:認知之界 敵對之影,清流雜誌社,法務部調查局,47,社會科學 > 法律學,
2,清流雙月刊 [第53期]:認知之界 敵對之影,清流雜誌社,法務部調查局,51,社會科學 > 法律學,
3,清流雙月刊 [第52期]:安全為基 經濟為翼 展翅未來,清流雜誌社,法務部調查局,52,社會科學 > 法律學,
4,清流雙月刊 [第51期]:科技之島站穩國際臺灣「矽盾」再進化,清流雜誌社,法務部調查局,53,社會科學 > 法律學,
,,,,,,
【期刊-國際海洋資訊】,,,,,,
序號,刊名,出 版 者,作者,期數,期刊分類,數量
1,國際海洋資訊,海洋委員會,海洋委員會,28,學術團體,
2,國際海洋資訊,海洋委員會,海洋委員會,29,學術團體,
3,國際海洋資訊,海洋委員會,海洋委員會,30,學術團體,
,,,,,,
【期刊-漁業推廣】,,,,,,
序號,刊名,出 版 者,作者,期數,期刊分類,數量
1,漁業推廣,行政院農業委員會漁業署,,449,農業環保>農業,
2,漁業推廣,行政院農業委員會漁業署,,450,農業環保>農業,
3,漁業推廣,行政院農業委員會漁業署,,451,農業環保>農業,
4,漁業推廣,行政院農業委員會漁業署,,452,農業環保>農業,
5,漁業推廣,行政院農業委員會漁業署,,453,農業環保>農業,
6,漁業推廣,行政院農業委員會漁業署,,454,農業環保>農業,
7,漁業推廣,行政院農業委員會漁業署,,455,農業環保>農業,
8,漁業推廣,行政院農業委員會漁業署,,456,農業環保>農業,
9,漁業推廣,行政院農業委員會漁業署,,457,農業環保>農業,
10,漁業推廣,行政院農業委員會漁業署,,458,農業環保>農業,
11,漁業推廣,行政院農業委員會漁業署,,459,農業環保>農業,
,,,,,,
【期刊-警大雙月刊】,,,,,,
序號,刊名,出 版 者,作者,期數,期刊分類,數量
1,警大雙月刊,中央警察大學雙月刊社,,230,學術團體,
2,警大雙月刊,中央警察大學雙月刊社,,231,學術團體,
3,警大雙月刊,中央警察大學雙月刊社,,232,學術團體,
4,警大雙月刊,中央警察大學雙月刊社,,233,學術團體,
5,警大雙月刊,中央警察大學雙月刊社,,234,學術團體,
,,,,,,
【期刊- 警專論壇】,,,,,,
序號,刊名,出 版 者,作者,期數,期刊分類,數量
1,警專論壇,臺灣警察專科學校,,50,學術團體,
2,警專論壇,臺灣警察專科學校,,52,學術團體,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
【期刊- 海巡季刊】,,,,,,
序號,刊名,出 版 者,作者,期數,期刊分類,數量
1,海巡季刊,海洋委員會海巡署,,117,政治/外交/國防,
2,海巡季刊,海洋委員會海巡署,,118,政治/外交/國防,
3,海巡季刊,海洋委員會海巡署,,119,政治/外交/國防,
4,海巡季刊,海洋委員會海巡署,,120,政治/外交/國防,
5,海巡季刊,海洋委員會海巡署,,123,政治/外交/國防,
,,,,,,
,,,,,,
,,,,,,
【 期刊-海洋漫波】,,,,,,
序號,刊名,出 版 者,作者,期數,期刊分類,數量
1,海洋漫波,海洋委員會海洋保育署,,17,社會/科學>自然科學,
2,海洋漫波,海洋委員會海洋保育署,,18,社會/科學>自然科學,
,,,,,,
【海軍學術雙月刊】,,,,,,
序號,刊名,出 版 者,作者,期數,期刊分類,數量
1,海軍學術雙月刊,國防部海軍司令部,,57卷第六期,社會科學 > 軍事學,
2,海軍學術雙月刊,國防部海軍司令部,,58卷第一期,社會科學 > 軍事學,
3,海軍學術雙月刊,國防部海軍司令部,,58卷第二期,社會科學 > 軍事學,
4,海軍學術雙月刊,國防部海軍司令部,,58卷第四期,社會科學 > 軍事學,
5,海軍學術雙月刊,國防部海軍司令部,,58卷第五期,社會科學 > 軍事學,
6,海軍學術雙月刊,國防部海軍司令部,,58卷第六期,社會科學 > 軍事學,
,,,,,,
【國際漁業資訊月刊】,,,,,,
序號,刊名,出 版 者,作者,期數,期刊分類,數量
1,國際漁業資訊月刊,國立臺灣海洋大學,,377,財金產業,
2,國際漁業資訊月刊,國立臺灣海洋大學,,378,財金產業,
3,國際漁業資訊月刊,國立臺灣海洋大學,,379,財金產業,
4,國際漁業資訊月刊,國立臺灣海洋大學,,380,財金產業,
5,國際漁業資訊月刊,國立臺灣海洋大學,,381,財金產業,
6,國際漁業資訊月刊,國立臺灣海洋大學,,382,財金產業,
7,國際漁業資訊月刊,國立臺灣海洋大學,,383,財金產業,
8,國際漁業資訊月刊,國立臺灣海洋大學,,384,財金產業,
9,國際漁業資訊月刊,國立臺灣海洋大學,,385,財金產業,
10,國際漁業資訊月刊,國立臺灣海洋大學,,386,財金產業,
11,國際漁業資訊月刊,國立臺灣海洋大學,,387,財金產業,
